% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.250       3.4557519       36.816351       76.973047
0.250       3.5185838       35.413623       78.152758
0.250       3.5814156       34.436081       80.139781
0.250       3.6442475       33.217965       81.445457
0.250       3.7070793       32.797661       84.646454
0.250       3.7699112       31.580328       85.719623
0.250       3.8327430       30.599761       87.280535
0.250       3.8955749       30.065492       90.043683
0.250       3.9584067       29.377921       92.310812
0.250       4.0212386       28.669141       94.441845
0.250       4.1469023       26.733275       96.581475
0.250       4.2725660       25.996338       102.71853
0.250       4.3982297       24.967115       107.61489
0.250       4.5238934       23.331096       109.43154
0.250       4.6495571       22.336298       113.74078
0.250       4.7752208       21.480167       118.49180
0.250       4.9008845       20.642230       123.09780
0.250       5.0265482       19.746010       127.04547
0.250       5.1522120       18.469267       127.96791
0.250       5.2778757       17.873670       133.12556
0.250       5.4035394       17.156458       137.13012
0.250       5.5292031       16.582529       142.00664
0.250       5.6548668       15.770256       144.46949
0.250       5.7805305       15.073247       147.49597
0.250       5.9061942       14.671879       153.13666
0.250       6.0318579       14.205688       157.93771
0.250       6.1575216       13.528219       160.00321
0.250       6.2831853       13.072011       164.26774
0.250       6.4088490       12.469963       166.29360
0.250       6.5345127       12.192065       172.34042
0.250       6.6601764       11.798111       176.57935
0.250       6.7858401       11.493562       181.94318
0.250       6.9115038       11.087079       185.44070
0.250       7.0371675       10.877135       192.03415
0.250       7.1628313       10.347858       192.65260
0.250       7.2884950       10.048146       197.09235
0.250       7.4141587       9.8501082       203.37468
0.250       7.5398224       9.5016579       206.32554
0.250       7.6654861       9.2634730       211.37966
0.250       7.7911498       8.9660937       214.82172
0.250       7.9168135       8.6786718       218.15982
0.250       8.0424772       8.5774931       226.04773
0.250       8.2938046       7.8766006       227.65148
0.250       8.5451320       7.7202339       244.03777
0.250       8.7964594       7.3447367       253.26210
0.250       9.0477868       6.9073687       259.18507
0.250       9.2991143       6.5523514       266.92681
0.250       9.5504417       6.2754174       276.93844
0.250       9.8017691       6.0303552       287.69118
0.250       10.053096       5.6694868       291.81900
0.250       10.304424       5.4402986       301.55334
0.250       10.555751       5.3096885       316.37835
0.250       10.807079       4.9960848       319.46626
0.250       11.058406       4.8433454       331.81293
0.250       11.309734       4.6600095       341.51846
0.250       11.561061       4.5570291       356.73451
0.250       11.812388       4.3460456       362.89224
0.250       12.063716       4.1944034       373.06435
0.250       12.315043       3.9798458       376.56879
0.250       12.566371       3.8689590       388.95018
0.250       12.817698       3.7550310       400.60272
0.250       13.069025       3.5958522       406.63214
0.250       13.320353       3.5198368       421.44409
0.250       13.571680       3.4004816       430.63720
0.250       13.823008       3.3022467       441.86278
0.250       14.074335       3.2128260       453.77559
0.250       14.325663       3.0765632       458.22655
0.250       14.576990       3.0510683       478.76869
0.250       14.828317       2.9430214       486.11530
0.250       15.079645       2.8562392       496.17876
0.250       15.330972       2.7637563       504.52082
0.250       15.582300       2.6976025       517.06228
0.250       15.833627       2.6216613       527.21537
0.250       16.084954       2.5767855       543.26036
