% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.125       14.074335       3.0581672       431.93176
0.125       14.325663       2.9508435       439.50172
0.125       14.576990       2.7951947       438.61743
0.125       14.828317       2.6911068       444.50516
0.125       15.079645       2.6142645       454.14351
0.125       15.330972       2.5428771       464.19954
0.125       15.582300       2.4500762       469.61774
0.125       15.833627       2.3373332       470.03706
0.125       16.084954       2.2761351       479.87465
0.125       16.587609       2.1150606       489.04009
0.125       17.090264       1.9922697       503.80760
0.125       17.592919       1.8590687       512.83705
0.125       18.095574       1.7417692       522.85099
0.125       18.598229       1.6534113       538.84755
0.125       19.100883       1.5331521       541.27235
0.125       19.603538       1.4341306       547.34649
0.125       20.106193       1.3580807       559.22345
0.125       20.608848       1.2954701       574.45868
0.125       21.111503       1.2305526       586.58087
0.125       21.614157       1.1448869       585.66296
0.125       22.116812       1.1005884       603.20200
0.125       22.619467       1.0480207       614.45099
0.125       23.122122       1.0075623       630.99400
0.125       23.624777      0.96870074       647.08753
0.125       24.127432      0.89497574       636.81722
0.125       24.630086      0.86994002       658.50242
0.125       25.132741      0.81587336       656.16429
0.125       25.635396      0.78373149       668.89454
0.125       26.138051      0.74378344       672.87805
0.125       26.640706      0.71470146       684.59244
0.125       27.143361      0.68044681       689.37462
0.125       27.646015      0.66297684       709.68602
0.125       28.148670      0.63595956       718.57716
0.125       28.651325      0.60706824       723.33903
0.125       29.153980      0.57985802       727.92305
0.125       29.656635      0.56483969       746.38184
0.125       30.159289      0.53699408       746.28218
0.125       30.661944      0.51297960       749.15110
0.125       31.164599      0.49648245       761.30520
0.125       31.667254      0.47545817       764.91607
0.125       32.169909      0.46394081       782.49636
0.125       33.175218      0.42607365       788.12719
0.125       34.180528      0.38706870       783.05923
0.125       35.185838      0.37014980       816.86721
0.125       36.191147      0.34348412       824.86710
0.125       37.196457      0.32557683       848.84515
0.125       38.201767      0.30018815       847.84047
0.125       39.207076      0.28327657       864.91670
0.125       40.212386      0.27004023       889.56618
0.125       41.217696      0.24791466       879.47519
0.125       42.223005      0.23263325       887.13449
0.125       43.228315      0.21914192       896.81042
0.125       44.233625      0.20541352       900.65169
0.125       45.238934      0.19561899       917.52599
0.125       46.244244      0.18857706       944.78320
0.125       47.249554      0.17779938       950.15321
0.125       48.254863      0.16632673       946.79416
0.125       49.260173      0.15719215       951.89468
0.125       50.265482      0.15075834       969.97642
0.125       51.270792      0.14178510       968.07927
0.125       52.276102      0.13436157       972.42230
0.125       53.281411      0.12819999       982.39336
0.125       54.286721      0.12159927       985.55773
0.125       55.292031      0.11688761       1000.9822
0.125       56.297340      0.11191940       1011.6710
0.125       57.302650      0.10624524       1012.7538
0.125       58.307960      0.10155847       1019.9290
0.125       59.313269     0.096232252       1017.2940
0.125       60.318579     0.092625262       1029.8003
0.125       61.323889     0.087172811       1018.4515
0.125       62.329198     0.083276361       1021.5664
0.125       63.334508     0.081165700       1044.6336
0.125       64.339818     0.077117196       1040.5452
0.125       66.350437     0.069786466       1032.6968
0.125       68.361056     0.064321896       1041.0112
0.125       70.371675     0.059162547       1044.5057
0.125       72.382295     0.055595694       1068.0915
0.125       74.392914     0.050892131       1061.4893
0.125       76.403533     0.048431777       1094.3116
0.125       78.414153     0.045310422       1106.7556
0.125       80.424772     0.042605388       1122.8049
0.125       82.435391     0.038438437       1090.8803
0.125       84.446011     0.036326308       1108.2275
0.125       86.456630     0.033549189       1098.3663
0.125       88.467249     0.031542818       1106.4157
0.125       90.477868     0.028735151       1078.2285
0.125       92.488488     0.027208701       1090.5388
