% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.125       5.6548668       19.172200       175.63430
0.125       5.7805305       18.293960       179.01155
0.125       5.9061942       17.688637       184.62385
0.125       6.0318579       16.964744       188.61267
0.125       6.1575216       16.015844       189.42527
0.125       6.2831853       15.715010       197.48064
0.125       6.4088490       15.106479       201.45295
0.125       6.5345127       14.586501       206.18687
0.125       6.6601764       14.121490       211.35280
0.125       6.7858401       13.655715       216.17007
0.125       6.9115038       13.080860       218.78836
0.125       7.0371675       12.550018       221.56864
0.125       7.1628313       12.072572       224.76269
0.125       7.2884950       11.686948       229.23712
0.125       7.4141587       11.401635       235.40897
0.125       7.5398224       11.071557       240.41540
0.125       7.6654861       10.703746       244.24469
0.125       7.7911498       10.475847       250.99441
0.125       7.9168135       10.089529       253.62520
0.125       8.0424772       9.7638970       257.31373
0.125       8.2938046       8.9916257       259.87822
0.125       8.5451320       8.6566101       273.63676
0.125       8.7964594       8.0519894       277.64967
0.125       9.0477868       7.9366886       297.80822
0.125       9.2991143       7.4959687       305.36747
0.125       9.5504417       6.9613443       307.20886
0.125       9.8017691       6.6490447       317.20711
0.125       10.053096       6.4112001       329.99636
0.125       10.304424       6.0946950       337.82625
0.125       10.555751       5.8338128       347.60835
0.125       10.807079       5.5375381       354.08859
0.125       11.058406       5.2512627       359.75895
0.125       11.309734       5.1734933       379.15018
0.125       11.561061       4.8888321       382.70881
0.125       11.812388       4.6781523       390.62296
0.125       12.063716       4.4901704       399.37086
0.125       12.315043       4.3115478       407.95408
0.125       12.566371       4.1992800       422.15767
0.125       12.817698       4.0008220       426.82475
0.125       13.069025       3.8609586       436.61134
0.125       13.320353       3.7564592       449.77583
0.125       13.571680       3.6404108       461.02185
0.125       13.823008       3.5052551       469.02667
0.125       14.074335       3.3404133       471.79586
0.125       14.325663       3.2575382       485.18116
0.125       14.576990       3.1190273       489.43272
0.125       14.828317       3.0048900       496.33449
0.125       15.079645       2.9193956       507.15012
0.125       15.330972       2.8592444       521.95207
0.125       15.582300       2.7700512       530.94887
0.125       15.833627       2.6663269       536.19761
0.125       16.084954       2.5877727       545.57680
0.125       16.587609       2.4320687       562.33808
0.125       17.090264       2.3238633       587.66139
0.125       17.592919       2.2092774       609.44455
0.125       18.095574       2.0968757       629.44823
0.125       18.598229       2.0199784       658.31191
0.125       19.100883       1.8517339       653.74621
0.125       19.603538       1.7969635       685.82435
0.125       20.106193       1.7402823       716.60443
0.125       20.608848       1.6551437       733.95106
0.125       21.111503       1.5822192       754.21359
0.125       21.614157       1.5099201       772.39446
0.125       22.116812       1.4598339       800.09452
0.125       22.619467       1.4050924       823.80089
0.125       23.122122       1.3656932       855.27638
0.125       23.624777       1.3091260       874.49002
0.125       24.127432       1.2613379       897.50111
0.125       24.630086       1.2315299       932.20843
0.125       25.132741       1.1608955       933.64752
0.125       25.635396       1.1226778       958.17644
0.125       26.138051       1.0840531       980.70961
0.125       26.640706       1.0532620       1008.8901
0.125       27.143361       1.0244097       1037.8505
0.125       27.646015      0.98654420       1056.0499
0.125       28.148670      0.96724764       1092.9029
0.125       28.651325      0.93931206       1119.2170
0.125       29.153980      0.90254280       1133.0044
0.125       29.656635      0.88484321       1169.2360
0.125       30.159289      0.85385607       1186.6380
0.125       30.661944      0.83242812       1215.6710
0.125       31.164599      0.81256813       1245.9904
0.125       31.667254      0.78161630       1257.4626
0.125       32.169909      0.77856699       1313.1542
0.125       33.175218      0.73059903       1351.4212
0.125       34.180528      0.69486514       1405.7467
0.125       35.185838      0.65864331       1453.5308
0.125       36.191147      0.63992193       1536.7539
0.125       37.196457      0.61221984       1596.1819
0.125       38.201767      0.58632453       1655.9936
0.125       39.207076      0.56327491       1719.8241
0.125       40.212386      0.53585494       1765.2126
0.125       41.217696      0.50786668       1801.6528
0.125       42.223005      0.49689804       1894.8942
0.125       43.228315      0.47427220       1940.8986
0.125       44.233625      0.44947609       1970.7632
0.125       45.238934      0.44197646       2073.0343
0.125       46.244244      0.42684814       2138.5367
0.125       47.249554      0.41417189       2213.3190
0.125       48.254863      0.40059231       2280.3218
0.125       49.260173      0.38536938       2333.6475
0.125       50.265482      0.37632015       2421.2369
0.125       51.270792      0.36732167       2507.9963
0.125       52.276102      0.35305769       2555.2036
0.125       53.281411      0.34367671       2633.5861
0.125       54.286721      0.33612431       2724.2754
0.125       55.292031      0.32530157       2785.7622
0.125       56.297340      0.31519779       2849.1614
0.125       57.302650      0.31238511       2977.7258
0.125       58.307960      0.30667951       3079.9137
0.125       59.313269      0.29624830       3131.7112
0.125       60.318579      0.29094163       3234.6659
0.125       61.323889      0.28351429       3312.3351
0.125       62.329198      0.27508579       3374.5281
0.125       63.334508      0.27021197       3477.7315
0.125       64.339818      0.26581962       3586.7142
0.125       66.350437      0.25342523       3750.1744
0.125       68.361056      0.24239133       3922.9577
0.125       70.371675      0.23553675       4158.3650
0.125       72.382295      0.22680100       4357.2479
0.125       74.392914      0.21899277       4567.6704
0.125       76.403533      0.21013673       4748.0203
0.125       78.414153      0.20419256       4987.6221
0.125       80.424772      0.19631054       5173.4874
0.125       82.435391      0.19194930       5447.5084
0.125       84.446011      0.18350427       5598.2699
0.125       86.456630      0.17961759       5880.4969
0.125       88.467249      0.17253356       6051.8956
0.125       90.477868      0.17032950       6391.2709
0.125       92.488488      0.16443653       6590.7008
0.125       94.499107      0.15926077       6808.6685
0.125       96.509726      0.15396319       7011.3302
0.125       98.520346      0.15101968       7316.1328
0.125       100.53096      0.14783344       7609.2613
0.125       102.54158      0.14475400       7906.8026
