% z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.125       100.53096     0.032688955       1682.5611
0.125       102.54158     0.031817414       1737.9417
0.125       104.55220     0.030225912       1750.0451
0.125       106.56282     0.029402637       1802.4935
0.125       108.57344     0.028681506       1859.7006
0.125       110.58406     0.027274110       1868.5230
0.125       112.59468     0.026033263       1882.5758
0.125       114.60530     0.025273294       1927.2862
0.125       116.61592     0.024417163       1961.7288
0.125       118.62654     0.023789096       2011.8416
0.125       120.63716     0.023308180       2073.1079
0.125       122.64778     0.022116241       2067.0959
0.125       124.65840     0.021561098       2115.9516
0.125       126.66902     0.020949696       2157.0448
0.125       128.67964     0.020238075       2184.5849
0.125       132.70087     0.019269319       2281.1717
0.125       136.72211     0.018221822       2359.2738
0.125       140.74335     0.017437833       2462.8981
0.125       144.76459     0.016119573       2477.4838
0.125       148.78583     0.015024386       2506.9848
0.125       152.80707     0.014480765       2617.5325
0.125       156.82831     0.014048307       2745.1596
0.125       160.84954     0.013330679       2810.4899
0.125       164.87078     0.012751151       2895.0145
0.125       168.89202     0.011820009       2884.7985
0.125       172.91326     0.011600712       3038.3639
0.125       176.93450     0.010875451       3051.7931
0.125       180.95574     0.010250597       3077.0637
0.125       184.97698     0.010124156       3246.2512
0.125       188.99821    0.0097870710       3347.3113
0.125       193.01945    0.0092971603       3387.0672
0.125       197.04069    0.0090248279       3497.6549
0.125       201.06193    0.0085297651       3512.3426
0.125       205.08317    0.0083422609       3645.3907
0.125       209.10441    0.0080294301       3719.1572
0.125       213.12565    0.0076708058       3761.9965
0.125       217.14688    0.0073777232       3826.9556
0.125       221.16812    0.0071088573       3896.1678
0.125       225.18936    0.0068692159       3973.9375
0.125       229.21060    0.0067070336       4091.7099
0.125       233.23184    0.0065737955       4225.2261
0.125       237.25308    0.0062496853       4228.2823
0.125       241.27432    0.0059681723       4246.6346
0.125       245.29555    0.0057131329       4271.8266
0.125       249.31679    0.0057784220       4536.6379
0.125       253.33803    0.0054826802       4516.1083
0.125       257.35927    0.0053539122       4623.3945
0.125       265.40175    0.0049810063       4717.3563
0.125       273.44422    0.0046734624       4840.7793
0.125       281.48670    0.0045678563       5161.2671
0.125       289.52918    0.0043078880       5296.7769
0.125       297.57166    0.0041180107       5497.0845
0.125       305.61413    0.0038959984       5633.9025
0.125       313.65661    0.0036224165       5662.8099
0.125       321.69909    0.0034041230       5741.4951
0.125       329.74156    0.0032582918       5918.0866
0.125       337.78404    0.0031600548       6169.9587
0.125       345.82652    0.0029691803       6221.3082
0.125       353.86900    0.0026902253       6039.2979
0.125       361.91147    0.0026960852       6474.5698
0.125       369.95395    0.0025294690       6488.4750
0.125       377.99643    0.0024449879       6689.7526
0.125       386.03891    0.0022910399       6677.2268
0.125       394.08138    0.0022781431       7063.3222
0.125       402.12386    0.0021978569       7240.1771
0.125       410.16634    0.0020710901       7240.1787
