alpha,ACF+APS,ACF,APS,ACF_NW+APSNW,ACFNW,APSNW
1.1053999999999664,121.83165797399892,122.53796223981367,121.12535370818415,107.94678675659625,109.32491425646083,106.56865925673168
1.1054999999999664,121.85172436769815,122.55653182296602,121.1469169124303,107.94743776823245,109.32570351166932,106.56917202479558
1.1055999999999664,121.8717836882963,122.5750988602806,121.168468516312,107.94808082018316,109.32647648594424,106.56968515442209
1.1056999999999664,121.89182739658503,122.59364627419906,121.190008518971,107.94870578723734,109.3272129006002,106.5701986738745
1.1057999999999664,121.91184695328687,122.61215698716302,121.2115369194107,107.94930254496023,109.3278924769517,106.57071261296876
1.1058999999999664,121.93183381934048,122.63061392161404,121.23305371706694,107.94986095298836,109.3284949363134,106.57122696966333
1.1059999999999663,121.95177946003332,122.64899999999386,121.25455892007278,107.9503679463437,109.32899999999984,106.57173589268757
1.1060999999999663,121.97167673170492,122.66730093810699,121.27605252530283,107.95082158575008,109.32939215676164,106.5722510147385
1.1061999999999663,121.9915240680438,122.68551362520994,121.29753451087767,107.9512207329737,109.32967496509379,106.5727665008536
1.1062999999999663,122.01132130208018,122.70363774392203,121.31900486023834,107.9515695519993,109.32985675092718,106.57328235307142
1.1063999999999663,122.03106828028565,122.72167297686273,121.34046358370857,107.95187221021939,109.32994584019285,106.57379858024592
1.1064999999999663,122.05076485189633,122.73961900665144,121.36191069714124,107.95213286839447,109.32995055882179,106.57431517796714
1.1065999999999663,122.07041085414565,122.75747551590752,121.38334619238378,107.95235568096172,109.32987923274499,106.57483212917845
1.1066999999999663,122.09000611875575,122.77524218725046,121.40477005026104,107.95254480672878,109.32974018789345,106.5753494255641
1.1067999999999663,122.10955048265984,122.7929187032996,121.42618226202009,107.95270440914976,109.32954175019813,106.57586706810137
1.1068999999999662,122.12904378699089,122.81050474667433,121.44758282730746,107.95283864658856,109.32929224559001,106.5763850475871
1.1069999999999662,122.14848587418084,122.82799999999415,121.46897174836752,107.95295167262373,109.32900000000012,106.57690334524735
1.1070999999999662,122.16787814324775,122.84540725662194,121.49034902987354,107.95304787309598,109.32867378086453,106.57742196532745
1.1071999999999662,122.18722820921582,122.8627417528949,121.51171466553673,107.9531325304648,109.32832412163958,106.57794093929002
1.1072999999999662,122.20654523744928,122.88002183589377,121.53306863900478,107.95321113443643,109.32796199728679,106.57846027158607
1.1073999999999662,122.22583839552308,122.89726585269932,121.55441093834685,107.95328914025995,109.32759838276759,106.57897989775232
1.1074999999999662,122.24511685934351,122.91449215039228,121.57574156829473,107.95337200874008,109.32724425304343,106.57949976443672
1.1075999999999662,122.26438980795652,122.93171907605338,121.59706053985964,107.95346523851764,109.32691058307584,106.58001989395943
1.1076999999999662,122.28366641586905,122.94896497676335,121.61836785497474,107.95357433247453,109.32660834782622,106.58054031712284
1.1077999999999661,122.30295585080813,122.966248199603,121.63966350201326,107.95370477806807,109.3263485222561,106.58106103388003
1.1078999999999661,122.32226727967412,122.98358709165299,121.66094746769525,107.95386205907036,109.32614208132686,106.58158203681384
1.1079999999999661,122.34160987381308,123.00099999999411,121.68221974763206,107.95405165964593,109.32600000000004,106.5821033192918
1.1080999999999661,122.3609901890726,123.01850003536991,121.70348034277526,107.95427779264108,109.32593071978069,106.58262486550149
1.108199999999966,122.38040430515277,123.03607936317523,121.7247292471303,107.95453960357148,109.32593254834838,106.58314665879458
1.108299999999966,122.3998456808718,123.05372491246763,121.74596644927597,107.95483497570171,109.3260012599262,106.58366869147723
1.108399999999966,122.41930778052625,123.07142361230477,121.76719194874775,107.95516179446071,109.32613262873731,106.58419096018409
1.108499999999966,122.4387840760418,123.08916239174431,121.78840576033927,107.95551794397716,109.32632242900492,106.58471345894938
1.108599999999966,122.45826803131254,123.10692817984379,121.80960788278128,107.95590130861237,109.3265664349521,106.58523618227265
1.108699999999966,122.47775310091353,123.1247079056609,121.83079829616615,107.95630977584733,109.32686042080205,106.58575913089261
1.108799999999966,122.49723274298569,123.1424884982532,121.85197698771817,107.95674123270007,109.32720016077789,106.58628230462224
1.108899999999966,122.51670042434792,123.16025688667838,121.87314396201745,107.95719355924895,109.32758142910276,106.58680568939513
1.108999999999966,122.53614961184515,123.17799999999403,121.89429922369627,107.95766463455215,109.32799999999986,106.58732926910442
1.109099999999966,122.55557468729046,123.19570660186292,121.915442772718,107.95815219596139,109.32845134001275,106.58785305191005
1.109199999999966,122.57497369727865,123.2133727943687,121.9365746001886,107.9586533721363,109.32892968496691,106.58837705930567
1.109299999999966,122.59434560161634,123.2309965142001,121.95769468903258,107.95916511009361,109.32942896300831,106.58890125717892
1.109399999999966,122.61368936265112,123.24857569804588,121.97880302725635,107.95968433297881,109.3299431022829,106.58942556367474
1.109499999999966,122.63300395308951,123.26610828259483,121.99989962358418,107.96020799974116,109.33046603093656,106.58994996854574
1.109599999999966,122.65228834980701,123.28359220453571,122.0209844950783,107.9607331066683,109.3309916771153,106.59047453622131
1.109699999999966,122.67154151900516,123.30102540055734,122.042057637453,107.96125662843129,109.33151396896508,106.59099928789749
1.109799999999966,122.69076241725912,123.31840580734841,122.06311902716982,107.9617755124894,109.33202683463179,106.59152419034699
1.109899999999966,122.70995000696546,123.33573136159775,122.08416865233316,107.96228671282533,109.3325242022614,106.59204922338927
1.109999999999966,122.7291032627661,123.3529999999941,122.10520652553811,107.96278719150015,109.33299999999984,106.59257438300047
1.110099999999966,122.74822210476552,123.37021155714265,122.12623265238838,107.96327479527912,109.3334499201676,106.59309967039064
1.1101999999999659,122.7673102372834,123.38737345931429,122.14724701525252,107.96375090203495,109.3338767117832,106.5936250922867
1.1102999999999659,122.78637231420336,123.40449503069634,122.16824959771037,107.96421776878964,109.33428488803976,106.59415064953951
1.1103999999999659,122.8054129993779,123.42158559547606,122.18924040327973,107.96467764557701,109.33467896213031,106.59467632902371
1.1104999999999658,122.82443695982863,123.43865447784074,122.21021944181652,107.96513278282083,109.33506344724793,106.59520211839371
1.1105999999999658,122.84344885555443,123.45571100197768,122.23118670913118,107.96558543294017,109.33544285658573,106.59572800929463
