logk logPk493 logPk424 logPk373 logPk333 logPk300 logPk197 logPk103 logPk052 logPk023 logPk002 logPk000
0.6111389003956458 -0.025152992440213982 -0.025452040464682295 -0.027184203194300188 -0.02678138332200806 -0.02790282723114247 -0.035378689138020177 -0.048239782214206134 -0.037252382268548566 -0.034766967355252476 -0.025452461536626347 -0.024663500834685964
0.6178073366619682 -0.02528404008890356 -0.02568253351887502 -0.027460589857360825 -0.027717659734178512 -0.029503393055130948 -0.0353579455741949 -0.04897941912171724 -0.03755609391764052 -0.03445427557726453 -0.026535307173250446 -0.025864551795312832
0.6243336716901203 -0.026406265952304886 -0.027437025750596256 -0.028870869456337864 -0.028035715104241573 -0.028827376112869146 -0.03467462170688439 -0.049866461600012436 -0.03967461527353665 -0.034543491546046454 -0.02635762963066375 -0.02566426774024196
0.6307633828174597 -0.026335290668504235 -0.026276090856819055 -0.027604010120175767 -0.027495631951840852 -0.02940402083470435 -0.03535394151966172 -0.049664837661604636 -0.03906496378027756 -0.03539874724828512 -0.028093683995434954 -0.027474927837683405
0.6371093051016494 -0.026854336135724667 -0.027568472240010276 -0.029209908664514606 -0.02850426430917424 -0.029170026177912027 -0.03499229248426257 -0.05045010211288924 -0.03957582845820133 -0.035456483447558924 -0.027961035714956454 -0.02732615354089134
0.6433737066738228 -0.02759129157190473 -0.027950606056746014 -0.02870841172606381 -0.027898717996371104 -0.029409089278033134 -0.03568319776440342 -0.05061695914727963 -0.04032667233525553 -0.03620887091077236 -0.029967047750977544 -0.02943835054712891
0.6494808973220154 -0.027651619738527755 -0.028012836425870206 -0.02976499356421569 -0.02891742120330265 -0.02970517946453761 -0.03509653537738946 -0.05136122412737381 -0.04057336004098077 -0.03808395428960514 -0.03020567462524028 -0.029538365679912172
0.655541795408254 -0.027845808021402352 -0.028720287184211976 -0.030862784416249286 -0.029952109512182565 -0.03017913067875519 -0.0362772891523407 -0.05167667525996767 -0.04151881085456152 -0.03839332984471442 -0.030613506768280375 -0.029954537329120078
0.6615476756024092 -0.029021882602651834 -0.029596198338842413 -0.030242507761330854 -0.0299615463991039 -0.030543792639495797 -0.03617684220666359 -0.051809354076120494 -0.04146970232415485 -0.038775897324449526 -0.032481783147087266 -0.03194865677021233
0.6674809709849866 -0.028853726329590608 -0.029261064113421487 -0.030650975543527127 -0.03000341796232208 -0.03149719218446682 -0.03637422008770953 -0.05260608947295156 -0.042068136176764234 -0.0396726930279358 -0.03241325420454629 -0.031798362544020235
0.6733066544822023 -0.029770456557622404 -0.029695447212652267 -0.03139215890379014 -0.03049019441289665 -0.030950042464692844 -0.0364875740625824 -0.053597767334191825 -0.04226964372028404 -0.03987671907851134 -0.03376780553066519 -0.03325036608571214
0.6790461312044188 -0.030096806807788732 -0.03090575645239307 -0.03197053553419481 -0.0303789715579308 -0.03130716980905863 -0.0368507193979209 -0.053318138368342864 -0.04313090377341461 -0.04091895598044761 -0.034431721508568144 -0.03388223738538996
0.6847376719760746 -0.029864812725275955 -0.02954662965143208 -0.031727688348078154 -0.03137684412846175 -0.03222651529246023 -0.0364486888911476 -0.053857161395296026 -0.04359794718902405 -0.04118201570866324 -0.03478543842590664 -0.03424363318134629
0.6903290069739692 -0.030683199009796262 -0.03138612730832665 -0.03264789920744886 -0.030947049785105683 -0.031346897358733784 -0.03671588842890819 -0.05319675132402685 -0.04367407931567888 -0.04168531801469545 -0.03651221410586332 -0.036074039953568386
0.6958317728266923 -0.031239812696160687 -0.031282349886966446 -0.03206070802756145 -0.03115211016427752 -0.032050628723964227 -0.03662624831952665 -0.05348351163069295 -0.04444734029835059 -0.04146277770952823 -0.03615239364244627 -0.03570259153563348
0.7012829667414266 -0.03142558741637175 -0.03151669243080104 -0.03271045919743102 -0.03162996244541623 -0.03163193801470041 -0.03788105396816261 -0.053960424528836495 -0.04551221529020082 -0.04331020830938833 -0.03711784485602836 -0.03659333700644784
0.7066836517632882 -0.03211300526170733 -0.03173798218825807 -0.03270639646822543 -0.031974145063196166 -0.031869586811985144 -0.03756606255884874 -0.05421127180992425 -0.04508635769495483 -0.04225240996002332 -0.038357498987056156 -0.03802759080351274
0.7120432861478547 -0.032251824655524675 -0.03261126188664186 -0.033477639214459495 -0.03235176631650204 -0.032963569105226256 -0.03771204921326958 -0.054058937368699704 -0.04557992523820684 -0.04274361932466032 -0.039113234721656995 -0.038805732548114785
0.7173126034118423 -0.032254300744179766 -0.032325794866822744 -0.03381473872372158 -0.03271628871039897 -0.03288212972516776 -0.037675741369543735 -0.055083880047082465 -0.046192177922933564 -0.043914150301615565 -0.03954908702362247 -0.03917935582640394
0.7224940703557882 -0.0327002995554104 -0.032669783227527366 -0.034149783556006647 -0.032435093743976365 -0.03321962962490007 -0.0377864799732584 -0.055743604203828005 -0.04666775912659244 -0.0438884459926406 -0.04044657489969342 -0.04015504026690059
0.7276388403301474 -0.033464625114055666 -0.03337728677761581 -0.03442852390713025 -0.03232986606183426 -0.03222750170682842 -0.03766046078296055 -0.0552081220438346 -0.04691160149370005 -0.04460171925302156 -0.04075841549798655 -0.04043287856802092
