z,M500,f_b
0.75,5011872336272.612,0.4165735812632004
0.75,6309573444801.788,0.4062208386265755
0.75,7943282347242.627,0.4044627066553288
0.75,9999999999999.754,0.4068260555601312
0.75,12589254117941.354,0.4190098740643379
0.75,15848931924610.72,0.432667795500154
0.75,19952623149688.258,0.4554212042618503
0.75,25118864315095.1,0.4857502150139071
0.75,31622776601682.887,0.511773127668209
0.75,39810717055348.555,0.5445945345203898
0.75,50118723362725.71,0.5806108873262259
0.75,63095734448017.37,0.6136973934480405
0.75,79432823472425.61,0.6594099235184901
0.75,99999999999996.72,0.6828468467175189
0.75,125892541179412.5,0.7167513533943038
0.75,158489319246105.9,0.7490032170812669
0.75,199526231496880.97,0.7852435131585709
0.75,251188643150948.97,0.8162909349050147
0.75,316227766016826.3,0.8260970558178738
0.75,398107170553482.25,0.8415565740399062
0.75,501187233627253.0,0.869456877363789
0.75,630957344480168.5,0.8656239380845414
0.75,794328234724249.6,0.8814833661136895
0.75,1258925411794114.8,0.903608712395624
0.75,1584893192461046.0,0.8958328725217106
1.0,99999999999.99918,0.8471769272440682
1.0,125892541179.4156,0.829602251959821
1.0,158489319246.1098,0.8261226112211512
1.0,199526231496.88583,0.8464862972822806
1.0,251188643150.9551,0.8674157240940912
1.0,316227766016.83405,0.8828320945444573
1.0,398107170553.49207,0.9031105905589436
1.0,501187233627.2653,0.9159685228333287
1.0,630957344480.184,0.8575493997364229
1.0,794328234724.2692,0.6878629786864172
1.0,999999999999.9836,0.646293356184072
1.0,1258925411794.1455,0.6203634493039996
1.0,1584893192461.085,0.5934022156698294
1.0,1995262314968.842,0.5561704594676361
1.0,2511886431509.531,0.5169248947594346
1.0,3162277660168.3145,0.4846551898815474
1.0,3981071705534.888,0.4603885879358811
1.0,5011872336272.612,0.4410423242065426
1.0,6309573444801.788,0.4365158366803676
1.0,7943282347242.627,0.4331118134645959
